Category: All categories

Month,mounjaro: (Worldwide),glp-1: (Worldwide),liraglutide: (Worldwide),dulaglutide: (Worldwide),trulicity: (Worldwide)
2013-06,0,3,2,<1,0
2013-07,0,5,2,<1,0
2013-08,<1,3,2,<1,0
2013-09,0,3,2,<1,0
2013-10,<1,3,2,<1,0
2013-11,0,3,2,<1,<1
2013-12,0,2,2,<1,0
2014-01,0,2,2,<1,<1
2014-02,<1,3,2,<1,<1
2014-03,0,3,2,<1,<1
2014-04,0,3,2,<1,<1
2014-05,0,2,2,<1,0
2014-06,0,3,2,<1,<1
2014-07,0,2,2,<1,<1
2014-08,0,2,2,<1,<1
2014-09,0,3,3,1,1
2014-10,0,3,2,1,1
2014-11,0,3,2,<1,1
2014-12,0,2,2,<1,1
2015-01,0,3,4,1,1
2015-02,0,2,2,<1,2
2015-03,0,3,3,<1,2
2015-04,0,3,3,1,2
2015-05,0,3,3,<1,2
2015-06,0,3,2,<1,3
2015-07,0,3,5,<1,3
2015-08,0,3,3,<1,3
2015-09,0,3,3,1,3
2015-10,0,3,3,<1,5
2015-11,0,3,3,<1,6
2015-12,0,2,2,1,6
2016-01,<1,2,3,1,4
2016-02,0,3,3,1,5
2016-03,0,3,3,1,6
2016-04,<1,3,3,1,6
2016-05,0,3,3,1,6
2016-06,<1,3,4,1,6
2016-07,<1,3,3,1,5
2016-08,0,3,3,<1,6
2016-09,<1,3,3,1,7
2016-10,0,3,3,1,8
2016-11,<1,3,3,1,8
2016-12,0,3,2,1,7
2017-01,0,3,3,1,10
2017-02,0,3,3,1,10
2017-03,0,3,3,1,10
2017-04,0,3,3,1,11
2017-05,0,3,3,1,10
2017-06,0,3,3,1,11
2017-07,0,2,3,1,11
2017-08,<1,3,4,1,13
2017-09,0,3,4,1,11
2017-10,0,3,4,1,13
2017-11,0,3,4,1,12
2017-12,0,2,3,1,12
2018-01,<1,3,4,1,14
2018-02,0,3,4,1,14
2018-03,<1,3,4,1,15
2018-04,0,3,4,1,16
2018-05,0,3,4,1,15
2018-06,<1,3,4,1,16
2018-07,0,3,3,1,15
2018-08,0,2,3,1,16
2018-09,0,3,4,1,15
2018-10,0,3,4,1,16
2018-11,<1,3,4,1,17
2018-12,0,3,3,1,16
2019-01,0,3,4,1,19
2019-02,0,3,4,1,18
2019-03,<1,3,4,2,18
2019-04,0,4,4,1,18
2019-05,0,3,4,2,19
2019-06,<1,3,4,2,20
2019-07,0,3,4,2,19
2019-08,0,3,4,2,18
2019-09,<1,4,4,2,18
2019-10,0,4,4,2,19
2019-11,0,4,4,2,18
2019-12,0,3,3,2,19
2020-01,<1,3,4,2,21
2020-02,<1,3,4,2,23
2020-03,<1,3,3,2,17
2020-04,0,3,3,1,14
2020-05,0,3,3,2,15
2020-06,0,4,4,2,18
2020-07,0,4,4,2,19
2020-08,<1,3,4,2,19
2020-09,0,3,4,2,19
2020-10,0,3,4,2,20
2020-11,<1,3,4,2,17
2020-12,<1,3,3,1,17
2021-01,<1,3,4,2,21
2021-02,0,3,5,2,21
2021-03,0,4,5,2,24
2021-04,0,3,5,2,23
2021-05,0,4,5,2,25
2021-06,<1,4,5,2,25
2021-07,0,4,5,2,25
2021-08,<1,4,5,2,25
2021-09,0,4,4,2,25
2021-10,<1,5,4,2,24
2021-11,<1,4,5,2,24
2021-12,<1,4,4,2,23
2022-01,0,6,5,2,27
2022-02,<1,6,6,2,30
2022-03,0,7,7,2,31
2022-04,0,6,6,2,32
2022-05,2,6,7,3,33
2022-06,11,6,7,3,36
2022-07,17,6,6,3,35
2022-08,32,6,6,3,37
2022-09,54,6,7,3,33
2022-10,76,8,7,2,36
2022-11,82,7,7,3,37
2022-12,82,7,6,2,36
2023-01,95,10,8,3,45
2023-02,85,10,8,3,48
2023-03,87,12,9,3,44
2023-04,100,12,8,3,43
2023-05,91,11,8,3,42
2023-06,100,11,8,3,40
