Category: All categories

Month,victoza: (Worldwide),glp1: (Worldwide),exenatide: (Worldwide),lixisenatide: (Worldwide),bydureon: (Worldwide)
2013-06,67,5,10,2,14
2013-07,66,7,8,4,13
2013-08,64,5,7,2,12
2013-09,70,3,8,3,13
2013-10,84,5,9,2,13
2013-11,72,5,8,2,13
2013-12,65,4,7,2,12
2014-01,66,4,7,2,15
2014-02,70,5,7,2,15
2014-03,69,4,8,1,15
2014-04,70,6,8,2,14
2014-05,60,5,8,1,13
2014-06,63,4,8,1,14
2014-07,60,5,7,2,15
2014-08,59,4,6,1,13
2014-09,62,5,8,1,15
2014-10,65,6,8,1,17
2014-11,61,5,8,2,17
2014-12,55,4,6,1,15
2015-01,61,5,7,1,16
2015-02,66,6,7,1,17
2015-03,67,6,8,2,16
2015-04,70,5,8,1,17
2015-05,68,6,7,2,16
2015-06,66,5,7,3,18
2015-07,73,5,7,2,17
2015-08,71,5,6,1,17
2015-09,75,6,7,2,16
2015-10,78,6,7,1,17
2015-11,70,6,8,1,16
2015-12,64,4,6,2,16
2016-01,64,5,7,1,14
2016-02,65,6,7,1,15
2016-03,85,6,7,2,16
2016-04,74,7,7,2,15
2016-05,74,7,6,1,15
2016-06,73,7,6,2,15
2016-07,75,5,5,1,14
2016-08,78,4,7,2,14
2016-09,69,6,7,2,14
2016-10,75,6,7,2,15
2016-11,72,7,8,2,15
2016-12,63,6,5,1,12
2017-01,78,6,6,2,14
2017-02,77,7,7,2,16
2017-03,76,7,7,2,15
2017-04,78,7,7,2,14
2017-05,76,8,7,2,16
2017-06,82,7,6,2,16
2017-07,86,6,5,2,15
2017-08,91,6,13,2,16
2017-09,86,6,10,2,15
2017-10,91,8,9,1,17
2017-11,89,7,8,2,16
2017-12,73,5,6,1,15
2018-01,98,7,8,1,19
2018-02,94,7,8,2,19
2018-03,94,8,8,2,21
2018-04,90,9,7,2,21
2018-05,93,8,7,2,19
2018-06,93,9,7,2,20
2018-07,88,7,6,1,20
2018-08,90,7,6,1,18
2018-09,89,8,7,2,17
2018-10,92,8,7,2,17
2018-11,92,9,7,2,17
2018-12,81,8,6,1,16
2019-01,88,8,6,1,17
2019-02,100,9,6,2,17
2019-03,89,8,6,1,17
2019-04,93,9,7,1,16
2019-05,93,9,6,2,18
2019-06,86,10,6,1,16
2019-07,87,8,6,1,15
2019-08,85,8,6,2,16
2019-09,89,12,7,1,15
2019-10,86,12,7,1,14
2019-11,82,11,7,1,14
2019-12,86,10,5,1,13
2020-01,94,9,6,2,16
2020-02,83,12,7,1,16
2020-03,66,9,6,1,13
2020-04,55,9,5,1,12
2020-05,58,10,5,1,11
2020-06,74,14,6,1,13
2020-07,72,13,6,1,14
2020-08,74,11,5,1,13
2020-09,75,14,7,1,15
2020-10,76,12,7,1,14
2020-11,72,12,6,1,11
2020-12,62,10,5,1,11
2021-01,68,11,6,1,11
2021-02,77,15,6,1,12
2021-03,75,15,6,1,13
2021-04,74,15,6,1,15
2021-05,69,14,5,1,12
2021-06,79,15,6,1,11
2021-07,72,14,5,1,11
2021-08,78,13,5,1,10
2021-09,72,15,6,1,11
2021-10,68,15,5,1,9
2021-11,70,15,5,1,8
2021-12,63,14,5,1,7
2022-01,68,17,5,1,8
2022-02,64,19,7,2,9
2022-03,68,22,7,1,8
2022-04,59,20,5,1,7
2022-05,62,21,6,1,7
2022-06,70,22,5,1,7
2022-07,64,19,4,1,7
2022-08,67,20,5,1,7
2022-09,66,22,5,2,7
2022-10,66,24,5,1,7
2022-11,72,26,6,1,7
2022-12,67,24,5,1,7
2023-01,79,29,6,2,9
2023-02,83,30,6,2,9
2023-03,80,33,6,1,8
2023-04,75,32,5,2,7
2023-05,87,35,5,2,7
2023-06,87,33,5,1,7
