Category: All categories

Month,rybelsus: (Worldwide),orforglipron: (Worldwide),byetta: (Worldwide),glp1ra: (Worldwide),bydureon bcise: (Worldwide)
2013-06,<1,0,12,0,0
2013-07,0,0,11,0,<1
2013-08,<1,0,10,<1,0
2013-09,<1,0,10,0,0
2013-10,0,<1,9,0,0
2013-11,0,0,9,<1,0
2013-12,0,0,8,0,0
2014-01,0,0,9,<1,0
2014-02,0,0,9,0,0
2014-03,0,0,9,0,0
2014-04,0,0,9,<1,0
2014-05,<1,<1,9,0,0
2014-06,0,<1,8,<1,0
2014-07,0,0,8,0,0
2014-08,<1,0,8,<1,0
2014-09,0,0,8,0,0
2014-10,<1,0,7,0,0
2014-11,0,<1,8,0,0
2014-12,0,0,7,0,<1
2015-01,<1,<1,8,<1,0
2015-02,0,<1,8,0,0
2015-03,0,0,8,0,<1
2015-04,<1,<1,8,0,0
2015-05,<1,0,7,0,<1
2015-06,0,0,8,0,0
2015-07,0,0,8,0,0
2015-08,0,0,6,0,0
2015-09,0,<1,7,<1,0
2015-10,0,0,7,0,0
2015-11,<1,0,6,<1,<1
2015-12,0,0,6,0,<1
2016-01,0,<1,6,0,0
2016-02,0,0,7,0,<1
2016-03,0,0,6,0,0
2016-04,0,0,6,0,0
2016-05,0,0,5,0,0
2016-06,0,<1,6,0,0
2016-07,<1,<1,5,<1,<1
2016-08,0,0,6,0,0
2016-09,0,<1,5,<1,<1
2016-10,0,0,6,<1,0
2016-11,0,0,5,0,0
2016-12,<1,0,4,<1,0
2017-01,0,0,5,0,<1
2017-02,<1,0,6,0,0
2017-03,0,0,6,<1,0
2017-04,0,0,6,0,<1
2017-05,0,0,5,<1,<1
2017-06,0,0,5,<1,0
2017-07,0,0,5,<1,0
2017-08,0,0,6,<1,0
2017-09,<1,0,6,<1,0
2017-10,0,0,5,<1,<1
2017-11,0,0,5,<1,<1
2017-12,<1,<1,5,0,<1
2018-01,0,0,5,<1,<1
2018-02,0,0,5,0,1
2018-03,0,0,6,0,1
2018-04,0,0,5,<1,1
2018-05,<1,0,5,0,1
2018-06,<1,0,5,0,2
2018-07,<1,0,5,<1,2
2018-08,0,0,4,<1,2
2018-09,0,0,4,0,1
2018-10,0,0,4,0,2
2018-11,0,0,4,<1,1
2018-12,0,0,4,0,2
2019-01,0,0,4,0,1
2019-02,<1,0,4,0,1
2019-03,0,0,5,0,1
2019-04,0,0,5,0,1
2019-05,0,<1,4,0,2
2019-06,0,<1,4,0,1
2019-07,0,0,4,<1,1
2019-08,0,0,4,<1,2
2019-09,3,0,4,<1,1
2019-10,3,0,4,<1,2
2019-11,3,0,4,0,1
2019-12,3,0,4,<1,1
2020-01,6,0,4,<1,1
2020-02,6,0,4,0,2
2020-03,5,<1,3,<1,1
2020-04,5,0,3,<1,1
2020-05,5,0,3,0,1
2020-06,6,0,3,<1,1
2020-07,7,<1,4,<1,1
2020-08,8,0,3,<1,1
2020-09,14,0,3,0,1
2020-10,19,<1,3,<1,1
2020-11,16,<1,3,<1,1
2020-12,16,<1,2,<1,1
2021-01,16,0,3,<1,1
2021-02,21,<1,3,<1,1
2021-03,18,0,3,<1,1
2021-04,19,0,3,<1,2
2021-05,18,0,3,<1,1
2021-06,20,0,3,<1,1
2021-07,19,0,3,<1,1
2021-08,18,0,3,<1,1
2021-09,18,0,3,<1,1
2021-10,19,0,2,<1,1
2021-11,21,0,3,<1,1
2021-12,19,0,2,<1,1
2022-01,21,0,3,<1,1
2022-02,24,0,3,<1,1
2022-03,29,0,3,<1,1
2022-04,35,0,3,<1,1
2022-05,27,0,3,<1,1
2022-06,35,0,3,<1,1
2022-07,36,0,3,<1,1
2022-08,41,<1,3,<1,1
2022-09,39,0,3,<1,1
2022-10,45,<1,4,<1,1
2022-11,55,<1,4,<1,1
2022-12,50,<1,3,<1,1
2023-01,71,<1,4,<1,1
2023-02,73,<1,3,<1,1
2023-03,78,<1,3,<1,1
2023-04,92,<1,3,<1,1
2023-05,98,<1,3,<1,1
2023-06,100,3,3,<1,1
