Month,semaglutide,ozempic,wegovy,saxenda,tirzepatide,mounjaro,glp-1,liraglutide,dulaglutide,trulicity,victoza,glp1,exenatide,lixisenatide,bydureon,rybelsus,orforglipron,byetta,glp1ra,bydureon bcise,adlyxin,retatrutide,ly3437943,glp-1ra
2013-06,<1,0,0,0,0,0,3,2,<1,0,67,5,10,2,14,<1,0,12,0,0,0,0,0,0
2013-07,<1,<1,<1,0,0,0,5,2,<1,0,66,7,8,4,13,0,0,11,0,<1,0,0,0,1
2013-08,<1,0,<1,0,0,<1,3,2,<1,0,64,5,7,2,12,<1,0,10,<1,0,0,0,0,0
2013-09,<1,0,0,0,<1,0,3,2,<1,0,70,3,8,3,13,<1,0,10,0,0,0,0,0,1
2013-10,<1,<1,0,0,0,<1,3,2,<1,0,84,5,9,2,13,0,<1,9,0,0,0,1,0,0
2013-11,<1,0,0,0,0,0,3,2,<1,<1,72,5,8,2,13,0,0,9,<1,0,1,0,0,0
2013-12,<1,0,0,0,0,0,2,2,<1,0,65,4,7,2,12,0,0,8,0,0,0,0,0,0
2014-01,<1,0,0,<1,<1,0,2,2,<1,<1,66,4,7,2,15,0,0,9,<1,0,0,0,1,0
2014-02,<1,0,0,0,<1,<1,3,2,<1,<1,70,5,7,2,15,0,0,9,0,0,1,0,0,0
2014-03,<1,0,0,0,0,0,3,2,<1,<1,69,4,8,1,15,0,0,9,0,0,0,0,0,0
2014-04,<1,0,0,<1,0,0,3,2,<1,<1,70,6,8,2,14,0,0,9,<1,0,0,0,0,0
2014-05,<1,<1,0,0,0,0,2,2,<1,0,60,5,8,1,13,<1,<1,9,0,0,0,0,0,1
2014-06,<1,0,0,0,0,0,3,2,<1,<1,63,4,8,1,14,0,<1,8,<1,0,0,0,1,0
2014-07,<1,0,0,0,0,0,2,2,<1,<1,60,5,7,2,15,0,0,8,0,0,1,0,0,0
2014-08,0,0,<1,0,0,0,2,2,<1,<1,59,4,6,1,13,<1,0,8,<1,0,0,0,0,0
2014-09,<1,0,0,<1,0,0,3,3,1,1,62,5,8,1,15,0,0,8,0,0,0,0,0,0
2014-10,<1,0,0,<1,0,0,3,2,1,1,65,6,8,1,17,<1,0,7,0,0,0,0,0,0
2014-11,<1,0,0,<1,<1,0,3,2,<1,1,61,5,8,2,17,0,<1,8,0,0,0,0,0,0
2014-12,<1,0,<1,<1,<1,0,2,2,<1,1,55,4,6,1,15,0,0,7,0,<1,0,0,0,0
2015-01,<1,0,0,1,0,0,3,4,1,1,61,5,7,1,16,<1,<1,8,<1,0,1,0,2,0
2015-02,<1,0,0,<1,0,0,2,2,<1,2,66,6,7,1,17,0,<1,8,0,0,0,0,0,0
2015-03,<1,0,0,<1,0,0,3,3,<1,2,67,6,8,2,16,0,0,8,0,<1,0,0,0,0
2015-04,<1,0,0,<1,0,0,3,3,1,2,70,5,8,1,17,<1,<1,8,0,0,0,0,0,1
2015-05,<1,0,0,1,0,0,3,3,<1,2,68,6,7,2,16,<1,0,7,0,<1,0,2,0,0
2015-06,<1,0,0,1,0,0,3,2,<1,3,66,5,7,3,18,0,0,8,0,0,1,0,0,1
2015-07,<1,0,0,1,0,0,3,5,<1,3,73,5,7,2,17,0,0,8,0,0,0,0,0,1
2015-08,<1,0,0,1,<1,0,3,3,<1,3,71,5,6,1,17,0,0,6,0,0,1,0,0,1
2015-09,<1,0,0,1,0,0,3,3,1,3,75,6,7,2,16,0,<1,7,<1,0,0,0,0,0
2015-10,<1,0,0,1,0,0,3,3,<1,5,78,6,7,1,17,0,0,7,0,0,0,0,0,0
2015-11,<1,<1,0,1,<1,0,3,3,<1,6,70,6,8,1,16,<1,0,6,<1,<1,0,0,0,1
2015-12,<1,<1,0,1,0,0,2,2,1,6,64,4,6,2,16,0,0,6,0,<1,0,<1,0,0
2016-01,<1,0,<1,1,<1,<1,2,3,1,4,64,5,7,1,14,0,<1,6,0,0,1,0,0,0
2016-02,<1,0,0,1,0,0,3,3,1,5,65,6,7,1,15,0,0,7,0,<1,0,0,0,1
2016-03,<1,0,0,2,0,0,3,3,1,6,85,6,7,2,16,0,0,6,0,0,0,2,0,1
2016-04,<1,0,0,1,0,<1,3,3,1,6,74,7,7,2,15,0,0,6,0,0,0,2,1,1
2016-05,<1,0,0,1,0,0,3,3,1,6,74,7,6,1,15,0,0,5,0,0,0,0,0,0
2016-06,<1,0,0,1,<1,<1,3,4,1,6,73,7,6,2,15,0,<1,6,0,0,0,0,0,0
2016-07,<1,0,0,1,0,<1,3,3,1,5,75,5,5,1,14,<1,<1,5,<1,<1,4,0,0,1
2016-08,<1,0,0,2,0,0,3,3,<1,6,78,4,7,2,14,0,0,6,0,0,6,0,0,0
2016-09,<1,0,0,2,0,<1,3,3,1,7,69,6,7,2,14,0,<1,5,<1,<1,3,0,0,0
2016-10,<1,<1,0,2,0,0,3,3,1,8,75,6,7,2,15,0,0,6,<1,0,4,1,0,1
2016-11,<1,0,0,2,0,<1,3,3,1,8,72,7,8,2,15,0,0,5,0,0,4,0,0,0
2016-12,<1,0,0,2,0,0,3,2,1,7,63,6,5,1,12,<1,0,4,<1,0,2,0,0,1
2017-01,<1,0,0,2,<1,0,3,3,1,10,78,6,6,2,14,0,0,5,0,<1,4,1,0,<1
2017-02,<1,0,0,2,0,0,3,3,1,10,77,7,7,2,16,<1,0,6,0,0,6,1,0,0
2017-03,<1,0,0,2,0,0,3,3,1,10,76,7,7,2,15,0,0,6,<1,0,6,0,0,1
2017-04,<1,<1,0,2,0,0,3,3,1,11,78,7,7,2,14,0,0,6,0,<1,3,0,0,1
2017-05,<1,0,<1,2,0,0,3,3,1,10,76,8,7,2,16,0,0,5,<1,<1,2,2,0,1
2017-06,<1,0,0,2,0,0,3,3,1,11,82,7,6,2,16,0,0,5,<1,0,2,0,2,1
2017-07,<1,<1,0,2,0,0,2,3,1,11,86,6,5,2,15,0,0,5,<1,0,2,0,0,0
2017-08,<1,0,0,3,0,<1,3,4,1,13,91,6,13,2,16,0,0,6,<1,0,3,0,0,0
