CustomName,"1: ozempic, nausea, side","2: a1c, insulin, glucose","3: eating, calories, binge","4: insurance, denied, cover","5: pharmacy, stock, wegovy","6: semaglutid, appetite, b12","7: coupon, pa, card","8: wegovy, week, shot","9: compounded, semaglutid, compoundin","10: mounjaro, metformin, maintenanc","11: saxenda, liraglutid, day","12: trulicity, 75mg, side","13: pcos, testostero, hair","14: saxenda, wegovy, switch","15: tirzepatid, peptides, peptide","16: commercial, chantal, claudia","17: rybelsus, 7mg, 14mg","18: victoza, 8mg, byetta","19: calibrate, program, received","20: mounjaro, ozempic, switching","21: saxenda, liraglutid, australia","22: wegovy, mounjaro, switching","23: pen, pens, fridge","24: needle, bydureon, injection","25: glp, study, agonist","26: placebo, phentermin, bupropion","27: ketogenic, glp, glucagon","28: discussion, glp1, ra","29: lounge, chat, members","30: desire, anonymous, drink"
"1: ozempic, nausea, side",0.99999994,0.7325448,0.66022503,0.7125672,0.817703,0.6961415,0.6501781,0.77865505,0.6348375,0.7808595,0.65560925,0.7320949,0.63227874,0.5645811,0.61243594,0.55810213,0.74689406,0.7306513,0.65396047,0.86248565,0.7664042,0.6503453,0.6338871,0.5867789,0.6007334,0.74705076,0.52085286,0.6432309,0.2682029,0.6398158
"2: a1c, insulin, glucose",0.7325448,0.99999994,0.7501489,0.7089391,0.55904466,0.6927917,0.6044828,0.79284286,0.53098965,0.8028595,0.638627,0.7467988,0.7900654,0.4795717,0.52375495,0.280835,0.631169,0.68503296,0.6447034,0.5619098,0.5177872,0.56755936,0.429842,0.5593456,0.66483885,0.65553904,0.66485935,0.545396,0.16019833,0.51396483
"3: eating, calories, binge",0.66022503,0.7501489,0.99999994,0.60843635,0.43567306,0.6269715,0.46956593,0.7847872,0.36488622,0.6950061,0.7236615,0.5811864,0.82450134,0.4696569,0.37887895,0.36556616,0.51664263,0.55566037,0.5220307,0.4789857,0.47111708,0.50641495,0.26146355,0.35165882,0.49285832,0.7463526,0.5653906,0.45355308,0.112696424,0.41145238
"4: insurance, denied, cover",0.7125672,0.7089391,0.60843635,0.9999999,0.79554546,0.59832513,0.88688296,0.6458571,0.6502582,0.7236831,0.60056204,0.6135076,0.6803922,0.5638739,0.53583694,0.38126263,0.5839364,0.6330931,0.8428736,0.6185405,0.64993995,0.64919674,0.5218638,0.51615584,0.61853623,0.6808603,0.45995796,0.6384477,0.20024097,0.4283567
"5: pharmacy, stock, wegovy",0.817703,0.55904466,0.43567306,0.79554546,0.9999999,0.5746874,0.7942026,0.6347116,0.7619596,0.64216274,0.4936211,0.6076414,0.46351272,0.554163,0.6168293,0.5156325,0.643329,0.638608,0.7799176,0.76298136,0.7204684,0.70030534,0.7912322,0.5818534,0.5117711,0.61652607,0.31324416,0.6129565,0.300668,0.51599205
"6: semaglutid, appetite, b12",0.6961415,0.6927917,0.6269715,0.59832513,0.5746874,1.0000001,0.5611359,0.78756714,0.8455142,0.75694513,0.7099052,0.71790767,0.6367296,0.6188171,0.75984365,0.3147751,0.6694785,0.69364375,0.557737,0.59931993,0.62436527,0.65520316,0.46290255,0.57741743,0.71353793,0.74811614,0.59421045,0.6655222,0.2331725,0.7026168
"7: coupon, pa, card",0.6501781,0.6044828,0.46956593,0.88688296,0.7942026,0.5611359,1.0,0.57165956,0.6810969,0.8060535,0.5310141,0.61524945,0.5572573,0.5313965,0.5859165,0.3784212,0.5791029,0.61026895,0.81633973,0.74452984,0.6376153,0.7376685,0.6076202,0.5230671,0.5704678,0.56093043,0.38583365,0.59840417,0.2623228,0.4031643
"8: wegovy, week, shot",0.77865505,0.79284286,0.7847872,0.6458571,0.6347116,0.78756714,0.57165956,0.9999997,0.59795666,0.8099421,0.7851324,0.7588443,0.77880436,0.67707896,0.61934257,0.35322833,0.71893734,0.74853307,0.6256657,0.6349776,0.6249136,0.7898772,0.4923653,0.6314076,0.62750924,0.7676238,0.5770267,0.58397937,0.17348841,0.6163546
"9: compounded, semaglutid, compoundin",0.6348375,0.53098965,0.36488622,0.6502582,0.7619596,0.8455142,0.6810969,0.59795666,1.0,0.63378674,0.5210433,0.62723583,0.4498282,0.56121266,0.827734,0.3026964,0.6093254,0.62273514,0.64108324,0.6102998,0.64383554,0.6231457,0.677438,0.6022505,0.61021656,0.60299695,0.35130703,0.6293876,0.27814972,0.6073221
"10: mounjaro, metformin, maintenanc",0.7808595,0.8028595,0.6950061,0.7236831,0.64216274,0.75694513,0.8060535,0.8099421,0.63378674,1.0000001,0.7392347,0.78033394,0.74907607,0.6280004,0.66050625,0.38464203,0.71392024,0.7335918,0.6735431,0.83803296,0.68289876,0.8247346,0.51972944,0.5891269,0.70989,0.70659304,0.6499548,0.6868513,0.285088,0.54964566
