CustomName,"1 : agonists, glp1, 1ra","2 : investigat, counterpar, ideatio","3 : victoza, trulicity, themckenzi","4 : rushing, si, thinking","5 : treating, surmount, interestin","6 : saxenda, group, order","7 : meanwhile, shit, diabetics","8 : effective, semaglutid, shortage","9 : private, snapped, pound","10 : metabolic, surgery, poor","11 : triple, groundbrea, lowering","12 : emergency, hypoglycae, hypokit","13 : rates, nonfatal, isch","14 : germany, launched, big","15 : 16, analysis, systematic","16 : weightloss, viral, ways","17 : ada_pubs, strategies, special","18 : cousin, chemical, elilillyan","19 : glyburide, able, low","20 : hopes, admits, musk","21 : zero, omad, carnivore","22 : 88, wt, 72","23 : beef, cause, _daniellew","24 : constipati, 1100, routines","25 : happening, bout, happened","26 : pharmacies, non, hate","27 : thoughts, britain, says","28 : sale, drop, local","29 : fresh, pan, corn","30 : 000, ath, viking"
"1 : agonists, glp1, 1ra",1.0000004,0.5881163,0.60937285,0.42202908,0.5400087,0.5371441,0.46694615,0.62325025,0.521015,0.7248646,0.67440695,0.54908305,0.589893,0.5337391,0.50573266,0.5124606,0.7696099,0.4779544,0.4969655,0.6428832,0.7363688,0.17109063,0.47619152,0.39646924,0.4731576,0.41704524,0.46373904,0.21527538,0.15294376,0.51309067
"2 : investigat, counterpar, ideatio",0.5881163,1.0,0.57306075,0.47459888,0.45800763,0.5271995,0.5376587,0.5260583,0.51382643,0.47072315,0.66342545,0.44042164,0.33041927,0.6366919,0.3723848,0.51910335,0.29947144,0.5039435,0.37344706,0.5326162,0.44340217,0.12135347,0.5208453,0.31933397,0.48340765,0.43374175,0.6510517,0.11635158,0.09488993,0.38080227
"3 : victoza, trulicity, themckenzi",0.60937285,0.57306075,1.0000001,0.5233135,0.573565,0.73464704,0.5744721,0.6399584,0.60948014,0.5125181,0.62213373,0.42599118,0.29269505,0.4761271,0.43210664,0.60299456,0.37493876,0.5583409,0.5084778,0.64795446,0.5953953,0.24136311,0.5836176,0.6034714,0.52403265,0.5664686,0.44158563,0.31456968,0.3054496,0.37949413
"4 : rushing, si, thinking",0.42202908,0.47459888,0.5233135,0.99999994,0.5118267,0.5435783,0.656463,0.4076172,0.6109067,0.29924703,0.48669267,0.26803714,0.13146544,0.5270091,0.15689284,0.5522569,0.17192349,0.20103794,0.22213218,0.4241335,0.3229989,0.24537179,0.6383194,0.7316055,0.66256547,0.5551444,0.37318784,0.5340195,0.3067215,0.3277344
"5 : treating, surmount, interestin",0.5400087,0.45800763,0.573565,0.5118267,0.99999994,0.5582074,0.37012368,0.5152175,0.43581855,0.46398288,0.64956295,0.23976642,0.321527,0.442166,0.40914008,0.61036557,0.34087884,0.42064136,0.30042082,0.74426043,0.38424063,0.26660916,0.40434074,0.5725354,0.41130513,0.32664382,0.44776344,0.3847255,0.32985353,0.4751178
"6 : saxenda, group, order",0.5371441,0.5271995,0.73464704,0.5435783,0.5582074,1.0000002,0.5687708,0.65734875,0.73014104,0.44485182,0.54603803,0.38085175,0.24146132,0.5760598,0.40682834,0.6323389,0.26207858,0.67393434,0.34855688,0.5788063,0.4098523,0.27222717,0.6538416,0.54639775,0.6211815,0.51341164,0.6304995,0.48405194,0.27532572,0.4082061
"7 : meanwhile, shit, diabetics",0.46694615,0.5376587,0.5744721,0.656463,0.37012368,0.5687708,1.0000002,0.49077755,0.7866079,0.36208808,0.52193683,0.38698015,0.16462144,0.4635788,0.18036652,0.45052487,0.21223983,0.25147003,0.37427863,0.4707132,0.34982353,0.15737325,0.80781335,0.50268346,0.82544327,0.7234497,0.49741966,0.32056734,0.11840063,0.26972815
"8 : effective, semaglutid, shortage",0.62325025,0.5260583,0.6399584,0.4076172,0.5152175,0.65734875,0.49077755,1.0000001,0.5806354,0.5695002,0.5287229,0.51267993,0.45623052,0.57526064,0.7120079,0.5934553,0.37940538,0.59243894,0.42135662,0.6373905,0.4888074,0.14666325,0.4893837,0.39808905,0.48357219,0.45824438,0.46228492,0.270998,0.07798588,0.42234766
"9 : private, snapped, pound",0.521015,0.51382643,0.60948014,0.6109067,0.43581855,0.73014104,0.7866079,0.5806354,1.0,0.3961745,0.50435925,0.34872127,0.20296565,0.5142104,0.37669808,0.43074316,0.2527367,0.45092118,0.37201685,0.5043038,0.39553207,0.15043582,0.9166528,0.50350606,0.86052966,0.61147285,0.64441884,0.3881882,0.07770738,0.32015932
"10 : metabolic, surgery, poor",0.7248646,0.47072315,0.5125181,0.29924703,0.46398288,0.44485182,0.36208808,0.5695002,0.3961745,0.99999994,0.6356342,0.4582445,0.4985137,0.4095044,0.5535944,0.44732535,0.5535948,0.43301296,0.40998256,0.59344184,0.50660425,0.18310231,0.37288895,0.32721686,0.29238588,0.2644081,0.436523,0.08683439,0.1054903,0.38803485
